Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE"
People,Race,White,528785,"(+/- 6427 )",626756,"(+/- 7800 )",435291,"(+/- 9487 )",637111,"(+/- 5940 )",654248,"(+/- 6134 )",658447,"(+/- 6490 )",677610,"(+/- 9680 )",640979,"(+/- 3196 )",533397,"(+/- 10523 )",553451,"(+/- 2567 )",269493,"(+/- 9606 )",683722,"(+/- 8834 )",580914,"(+/- 9100 )",649331,"(+/- 7967 )",679312,"(+/- 9021 )",662093,"(+/- 9356 )"
People,Race,"Black or African American",153148,"(+/- 6204 )",71218,"(+/- 6648 )",276374,"(+/- 7811 )",35888,"(+/- 3254 )",18872,"(+/- 2893 )",15368,"(+/- 2377 )",28285,"(+/- 2940 )",44808,"(+/- 2619 )",112356,"(+/- 6719 )",121710,"(+/- 3785 )",355642,"(+/- 8009 )",36840,"(+/- 3187 )",82532,"(+/- 5334 )",35441,"(+/- 3590 )",36182,"(+/- 5052 )",21642,"(+/- 4210 )"
People,Race,"American Indian and Alaska Native",1049,"(+/- 599 )",1183,"(+/- 534 )",2310,"(+/- 1415 )",3610,"(+/- 1592 )",1250,"(+/- 530 )",1304,"(+/- 651 )",1645,"(+/- 990 )",1248,"(+/- 916 )",3161,"(+/- 1498 )",1847,"(+/- 636 )",1791,"(+/- 748 )",1594,"(+/- 1029 )",977,"(+/- 519 )",569,"(+/- 350 )",1063,"(+/- 624 )",1071,"(+/- 614 )"
People,Race,Asian,27695,"(+/- 2480 )",14023,"(+/- 2444 )",37678,"(+/- 4567 )",8129,"(+/- 1504 )",9691,"(+/- 1444 )",3887,"(+/- 1534 )",4713,"(+/- 1553 )",16544,"(+/- 1427 )",10655,"(+/- 2589 )",17383,"(+/- 1278 )",17489,"(+/- 2973 )",36877,"(+/- 5372 )",15332,"(+/- 2894 )",16156,"(+/- 3028 )",19593,"(+/- 3562 )",15917,"(+/- 3051 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",26112,"(+/- 2440 )",15103,"(+/- 2725 )",57550,"(+/- 3373 )",27388,"(+/- 2637 )",37722,"(+/- 1967 )",6563,"(+/- 1497 )",18719,"(+/- 2657 )",26611,"(+/- 322 )",84049,"(+/- 4220 )",21916,"(+/- 198 )",29751,"(+/- 3434 )",20689,"(+/- 2746 )",26042,"(+/- 2394 )",23393,"(+/- 2421 )",17367,"(+/- 2654 )",16943,"(+/- 2470 )"
